TIME q_liq_Ch2_mesh1 q_liq_Ch2_mesh2 q_liq_Ch2_mesh3 q_liq_Ch2_mesh4 q_liq_Ch2_mesh5 q_liq_Ch2_mesh6 q_liq_Ch2_mesh7 q_liq_Ch2_mesh8 q_liq_Ch2_mesh9 q_liq_Ch2_mesh10 q_liq_Ch2_mesh11 q_liq_Ch2_mesh12 q_liq_Ch2_mesh13 q_liq_Ch2_mesh14 q_liq_Ch2_mesh15 
0.000000000000000000e+00 6.549345482197704769e+03 6.549345482212361276e+03 6.555887480647572374e+03 6.559135077550636197e+03 6.498967557642761676e+03 6.552028526042443445e+03 6.548617318605501168e+03 6.540268470764701306e+03 6.482852187014337687e+03 6.532149837943343300e+03 6.527989563246565012e+03 6.518793934528392128e+03 6.463416305961536636e+03 6.506507655427861209e+03 6.531683282068443987e+03
5.000040000000043960e+01 1.431935910066792758e+03 1.433132885923264894e+03 1.438029867063443817e+03 1.445707556184802115e+03 1.451462297063195820e+03 1.452580109820957887e+03 1.454753884602944709e+03 1.456321631829641547e+03 1.474432188706306761e+03 1.459588896472346732e+03 1.460150387786841975e+03 1.460789531011749887e+03 1.482114450902060753e+03 1.460658451819038191e+03 1.460995144375618793e+03
1.000003999999985922e+02 2.482109260370174297e+02 2.482222898412806273e+02 2.540145700035400580e+02 2.714741336270491274e+02 2.882149089897836802e+02 2.653959674063092393e+02 2.632226535401167666e+02 2.627899605628628592e+02 2.717568448005247888e+02 2.487186886423178294e+02 2.455203618488693849e+02 2.469108544393120326e+02 2.537326824833031367e+02 2.365496420480918118e+02 2.339680704294873692e+02
1.502405034099261059e+02 -1.382951550406241950e+02 -1.385427297027178497e+02 -9.992096145498878457e+01 -8.750422664899902259e+01 -9.843775000491541505e+01 -8.918188904155999808e+01 -7.812829864812313474e+01 -6.300787946364933134e+01 -4.189971037509168639e+01 -4.109136312866269236e+01 -3.032116573804304238e+01 -2.249659458587838401e+01 -1.227431271974050553e+01 -3.823923950679981232e+01 -4.446502967991740007e+01
2.004200391960640388e+02 -3.290018154842288567e+01 -2.615224275502777829e+01 -2.117484002968956602e+01 -3.407699582197582799e+01 -2.698173886010406619e+01 -1.448254759378510315e+01 -2.557419030576381047e+01 -1.572423587586269988e+01 -1.976565897496744029e+01 -2.730926350935644464e+01 -3.447958441569425503e+01 -4.069643408732930112e+01 -6.122657517010977557e+01 -6.634432111157090617e+01 -3.052772980514995282e+01
2.515543625042201370e+02 1.021525449395131915e+02 9.688483897842714043e+01 1.159807673374361627e+02 1.118120989451720959e+02 9.572108394865645664e+01 8.798276964794878552e+01 7.713109065909753781e+01 7.034907531360865107e+01 6.417349920096474136e+01 4.952208399349132151e+01 4.241028096875341191e+01 3.175596705974581013e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.654013692173967213e-05
3.046793625042201370e+02 3.734072139517965638e+01 3.710071607383722636e+01 6.741525145766212290e+01 6.202174300874848001e+01 4.594367601272868029e+01 5.073858920026186325e+01 4.201228730728915650e+01 3.880755818785089417e+01 3.355384839454882950e+01 2.423242556704159867e+01 1.781110967481141572e+01 1.179120095241989574e+01 4.328573143903509113e+00 -2.078942299447696929e+00 -2.180205368787279524e-03
3.546793625042201370e+02 1.333230693907644309e+02 1.290387448944480013e+02 1.531432215014034739e+02 1.309858314306125067e+02 1.155892140430000126e+02 1.163253773046815240e+02 1.098938843986398126e+02 1.140354212116884582e+02 1.031217649590441567e+02 1.220685619604984424e+02 -4.269178958862831466e-04 7.795059463310300297e-04 3.047773976724126206e-03 5.321401903055673552e-03 7.261108430373651272e-03
4.046793625042201370e+02 2.674560662287284458e+02 2.672056982414182471e+02 2.686455676167783508e+02 2.704508465435058611e+02 2.782299920679644742e+02 2.861389108592534285e+02 2.907736391551888460e+02 2.743613863560743766e+02 2.549888025245231802e+02 2.288252953187671608e+02 2.213827781940164527e+02 2.078549650566886555e+02 1.944649304486573271e+02 1.825651186154051970e+02 1.785808568839078987e+02
4.546793625042201370e+02 8.211003460891129180e+01 8.213040304992637175e+01 8.425490053229053444e+01 8.826388843780225102e+01 9.069112878051747373e+01 8.920250951463094680e+01 9.449264113782007257e+01 1.230195435638042483e+02 1.486168703438763998e+02 1.418566733236829691e+02 1.434308996224440875e+02 1.414740879034580701e+02 1.378888558928302359e+02 1.373179668386599133e+02 1.378787611933691153e+02
5.046793625042201370e+02 6.873381604849683413e+01 6.875851202409315022e+01 7.184629845381688540e+01 7.695519864859355152e+01 7.788232594703940492e+01 7.696126209887160030e+01 1.034401660768096605e+02 1.336700116051803775e+02 1.453792723788286025e+02 1.343861090716552553e+02 1.464917103480931928e+02 1.489602606749428162e+02 1.487245617854444504e+02 1.573426999683674126e+02 1.461528962172768900e+02
5.546793625042200802e+02 6.115798676718046067e+01 6.117840962661053794e+01 6.410726889313920651e+01 6.808383828827354023e+01 6.919141124037845714e+01 1.007100558012775480e+02 1.302948110211715687e+02 1.371869472045044631e+02 1.348832617005029419e+02 1.273218733834453786e+02 1.381577653199639713e+02 1.446485682386118867e+02 1.440075948900841922e+02 1.540136368877638802e+02 1.403824576769019927e+02
6.046793625042200802e+02 6.874460331203157182e+01 6.875757740900607473e+01 7.067514228083703642e+01 7.405944305861602572e+01 7.856065577761124530e+01 1.142051158611382533e+02 1.423808466939027255e+02 1.396751846568203348e+02 1.396800042836361797e+02 1.310502159734452334e+02 1.432608259623453648e+02 1.495873256009109298e+02 1.496174285933805379e+02 1.597686197771213585e+02 1.473869093357027396e+02
6.566793625042200802e+02 6.875013720278629137e+01 6.875642819026333541e+01 7.038037024227072891e+01 7.365516815218545332e+01 8.197006559374662515e+01 1.190247727488713849e+02 1.447011368396411797e+02 1.370535111306687099e+02 1.402461040007157465e+02 1.313910013131873029e+02 1.445629227241389856e+02 1.516140257792087027e+02 1.522283961425715120e+02 1.631489291927234717e+02 1.509182767565674794e+02
7.100543625042200802e+02 6.832216211829403107e+01 6.832560451355571729e+01 6.999345797396706814e+01 7.321834761306057260e+01 8.275864378014325951e+01 1.188244508899585554e+02 1.430960236163416823e+02 1.349427501029182110e+02 1.397584054402896641e+02 1.312557204278961365e+02 1.447922127563977881e+02 1.525932018218836106e+02 1.536642627053358297e+02 1.649886586606169203e+02 1.525448184229412334e+02
7.600543625042200802e+02 6.824071408238549452e+01 6.824295827726730579e+01 6.997064235470097060e+01 7.313294343469264902e+01 8.294714557295984037e+01 1.183048766428119620e+02 1.420268971339897064e+02 1.341382612510528816e+02 1.393276416130150892e+02 1.310808587212800660e+02 1.447975958611871476e+02 1.530392538547470167e+02 1.545066808762920232e+02 1.660854169879613380e+02 1.535436537229914791e+02
8.100543625042200802e+02 6.840299209781083789e+01 6.840462483096406743e+01 7.020191277697811927e+01 7.340538592868117007e+01 8.351758960208307769e+01 1.183293115495929442e+02 1.416300378084423812e+02 1.339222204774254692e+02 1.391339863221288340e+02 1.309714382714431622e+02 1.447413983411327933e+02 1.531169929710196982e+02 1.548205154106058501e+02 1.664899765375288609e+02 1.538846054596000670e+02
8.600543625042200802e+02 6.808621851808003100e+01 6.808755432543067343e+01 6.997009415825242229e+01 7.329605472329095051e+01 8.403210664493231263e+01 1.184862624061192093e+02 1.413213511714320703e+02 1.336701670432800597e+02 1.390273812129480859e+02 1.309493725452412320e+02 1.448134876777057798e+02 1.532613151540162448e+02 1.551834952769749236e+02 1.669107936030855228e+02 1.544072357295261213e+02
9.100543625042200802e+02 5.034206694769508061e+01 5.035434648631985510e+01 5.230338961435785450e+01 5.583159583429724648e+01 9.317327064549316162e+01 1.183483554479717412e+02 1.166606203458866133e+02 1.170856956302945804e+02 1.201471226408674653e+02 1.151196857987778372e+02 1.268016897745694678e+02 1.345100195975499844e+02 1.343939089605057973e+02 1.447410263111245854e+02 1.295700580245987510e+02
9.600543625042200802e+02 6.296003458716548096e+01 6.299884750374101827e+01 6.471344644352323883e+01 7.636198382248892358e+01 1.115475188721352424e+02 1.278373037190330734e+02 1.201862958244368969e+02 1.240041339179033315e+02 1.240978097105248992e+02 1.185089440950013397e+02 1.294848971029764471e+02 1.357896276259131980e+02 1.342141841133912976e+02 1.434265252178943229e+02 1.322608139231343785e+02
1.010054362504220080e+03 6.308676609819259795e+01 6.310096846909880242e+01 6.753976711751521123e+01 8.953361961413499159e+01 1.209026341516542686e+02 1.289729075118954142e+02 1.228586435182916716e+02 1.244065233524900407e+02 1.236207308395447058e+02 1.174257989302369509e+02 1.277449853294701825e+02 1.326722767786121722e+02 1.307276085811232065e+02 1.389464683157322327e+02 1.280167492721984388e+02
1.060054362504220080e+03 6.393091191985687516e+01 6.394325004070877583e+01 6.791675929972959125e+01 9.597450986802441264e+01 1.271971993199048256e+02 1.287693761767251885e+02 1.241110159224415810e+02 1.229769550293886340e+02 1.216036594797816122e+02 1.149695545532597833e+02 1.244517121262585562e+02 1.279131223245026945e+02 1.256809334851096907e+02 1.327800116041172487e+02 1.226420660398736118e+02
1.110054362504220080e+03 5.950687593679270293e+01 5.953627106674180425e+01 6.404029780123619275e+01 9.796704851985032292e+01 1.295664613712140465e+02 1.241449448565362275e+02 1.206558271886308518e+02 1.181500199751306894e+02 1.166212521344047417e+02 1.100379703490764740e+02 1.186223981891642865e+02 1.209427883252082694e+02 1.184663771976966160e+02 1.247312470409867586e+02 1.153717498159998627e+02
1.160054362504220080e+03 6.297495721729095663e+01 6.297878576354067093e+01 6.907129716362928207e+01 1.094610385491752993e+02 1.351838586892629053e+02 1.194854565792479235e+02 1.222015266589932310e+02 1.170782202628536623e+02 1.168724574979157325e+02 1.098011171617378778e+02 1.183532321822135458e+02 1.200279083772085329e+02 1.174138874788569780e+02 1.231659481663426163e+02 1.138229463598803335e+02
1.210054362504220080e+03 5.798891248266473752e+01 5.806764256500014909e+01 6.506435620281018828e+01 1.053857591947232635e+02 1.266150414645602353e+02 1.099511574293013183e+02 1.131456246626563029e+02 1.071767818164652226e+02 1.063187163772402926e+02 9.948649867346588849e+01 1.066084894396805254e+02 1.061301646462537889e+02 1.033431875321138733e+02 1.075291309653217695e+02 1.042273902651984372e+02
1.260054362504220080e+03 4.147641513088849763e+01 4.172627184838920300e+01 4.899140215443214430e+01 9.161621656426858351e+01 1.150453360396484044e+02 1.011876377285585420e+02 1.064521599096556628e+02 1.024437996582106223e+02 1.026858057688809112e+02 9.708530818835821208e+01 1.049250320172796478e+02 1.051576568686572557e+02 1.027997132637888313e+02 1.076545978214110875e+02 1.081279991040503461e+02
1.310054362504220080e+03 7.952627155559613925e+01 7.952818722470034629e+01 8.700043494786315534e+01 1.274166079281207260e+02 1.460188748002183843e+02 1.275848158803092787e+02 1.312066740051836291e+02 1.233134905928380505e+02 1.214505075093567399e+02 1.131879835915651000e+02 1.186595383647523505e+02 1.157750822501841981e+02 1.124762133856798130e+02 1.138153871423019723e+02 1.116704626850875854e+02
1.360054362504220080e+03 7.153530765632089583e+01 7.156780310771023323e+01 8.029780591287014602e+01 1.217901669999361616e+02 1.355203384095251522e+02 1.182607209089986782e+02 1.203715400356906997e+02 1.123974252606876973e+02 1.108961736375229492e+02 1.037344485922734947e+02 1.087047202309246501e+02 1.054959094907190007e+02 1.022527808754908705e+02 1.019135556287102418e+02 1.027220973535176682e+02
1.410054362504220080e+03 5.130809539057992907e+01 5.143297860365646557e+01 6.100562707851474187e+01 1.039890013618127398e+02 1.175104284288826904e+02 1.002309045095298501e+02 1.012808930578927971e+02 9.342748573692169600e+01 9.136934838308707185e+01 8.416682563441467835e+01 8.774214725683927441e+01 8.486036229093905092e+01 8.137059831493603212e+01 8.180696058195609055e+01 8.235799186089332125e+01
