TIME q_liq_Ch0_mesh1 q_liq_Ch0_mesh2 q_liq_Ch0_mesh3 q_liq_Ch0_mesh4 q_liq_Ch0_mesh5 q_liq_Ch0_mesh6 q_liq_Ch0_mesh7 q_liq_Ch0_mesh8 q_liq_Ch0_mesh9 q_liq_Ch0_mesh10 q_liq_Ch0_mesh11 q_liq_Ch0_mesh12 q_liq_Ch0_mesh13 q_liq_Ch0_mesh14 q_liq_Ch0_mesh15 
0.000000000000000000e+00 -1.937168700749996424e+04 -1.937168700745173192e+04 -1.937168700736622122e+04 -1.937168700728469412e+04 -1.937168700720304332e+04 -1.937168700712117061e+04 -1.937168700703951254e+04 -1.937168700695765074e+04 -1.937168700687565070e+04 -1.937168700679364702e+04 -1.937168700671171609e+04 -1.937168700662943229e+04 -1.937168700654745044e+04 -1.937168700646495563e+04 -1.937168700638284281e+04
5.000040000000043960e+01 1.811675161914856460e+02 1.806422076625927957e+02 1.540805110140750571e+02 1.032130123739980547e+02 2.888888745068349095e+01 -5.164625490130987373e+01 -1.173106644633373463e+02 -1.599087158482361986e+02 -1.786733410185703974e+02 -1.790702310842482348e+02 -1.699776150326397612e+02 -1.595055715972141570e+02 -1.513316287575829620e+02 -1.492891981959415375e+02 -1.463445373871876996e+02
1.000003999999985922e+02 5.145732093566058296e+01 5.246707196515276905e+01 5.445484431793600777e+01 5.790886873699491133e+01 6.358103764584347317e+01 7.117473053927318460e+01 7.983978428562222973e+01 8.871345768446879276e+01 9.722076085657229783e+01 1.051265930772114814e+02 1.124172153534917129e+02 1.192737620425611169e+02 1.256751625432870298e+02 1.322478889490890310e+02 1.377307955149075269e+02
1.502405034099261059e+02 -8.023912421783149966e+02 -8.172032651388209388e+02 -8.167130694864281395e+02 -8.052590946691879026e+02 -7.809302053846282661e+02 -7.465705961349217432e+02 -7.286690181476737962e+02 -7.667948726413858367e+02 -8.469744327795503978e+02 -8.758450132788569817e+02 -8.684334925325994163e+02 -8.900454427853436528e+02 -8.881162778274089078e+02 -8.825174292611732199e+02 -8.768137215885720934e+02
2.004200391960640388e+02 -2.694823351500593844e+02 -2.726399179168798241e+02 -2.892323164420241710e+02 -3.056972092331733961e+02 -3.215866855094452035e+02 -3.367524693101831872e+02 -3.507030850597300855e+02 -3.640945024790495381e+02 -3.768435925876802344e+02 -3.888570784729668617e+02 -3.980143145788272250e+02 -4.158885842646208744e+02 -3.729837179951628627e+02 -3.655226402202226836e+02 -3.651278021040357658e+02
2.553043625042201370e+02 -5.299994318615046041e+02 -5.304244451129901563e+02 -5.306143044190206410e+02 -5.307449546194569621e+02 -5.308400710318917390e+02 -5.309153528369148489e+02 -5.309948977772564831e+02 -5.311052881662619711e+02 -5.312206794527349984e+02 -5.309080217657100320e+02 -5.263935328295343652e+02 -4.476476197127356045e+02 -3.755787082913906261e+02 -3.709531596245908531e+02 -3.702658844618326839e+02
3.053043625042201370e+02 2.719478749253605798e+01 2.746672251909241425e+01 2.755113901138714994e+01 2.760666558848802055e+01 2.765968758467923649e+01 2.771163740015619581e+01 2.776261327942588863e+01 2.781339245081695921e+01 2.786488247231105575e+01 2.791701591583886710e+01 2.796427491325012937e+01 2.797026914188306890e+01 2.788994648614464822e+01 2.784317071707164715e+01 -4.661498209081011623e+01
3.553043625042201370e+02 -2.038304950653176491e+02 -2.038457460321327517e+02 -2.038725225489899913e+02 -2.039001945077929463e+02 -2.039307319148529132e+02 -2.039668272344033539e+02 -2.040127077395202093e+02 -2.040737617172234479e+02 -2.041549246471104198e+02 -2.042613736868107708e+02 -2.043965931441254043e+02 -2.045646365447771302e+02 -2.047584326030646196e+02 -2.049603966871264333e+02 -2.051456385950064032e+02
4.053043625042201370e+02 -2.294162501535114629e+01 -2.294412209683886061e+01 -2.294666092907079857e+01 -2.294598481684030844e+01 -2.294082091969653803e+01 -2.293138172331134683e+01 -2.291849944211508472e+01 -2.290354789253537859e+01 -2.288800455193962691e+01 -2.287405352856844232e+01 -2.286421997995704203e+01 -2.286407841927945839e+01 -2.287211726104456133e+01 -2.288136903169865377e+01 -2.287918047591873005e+01
4.553043625042201370e+02 -1.098195061318624255e+02 -1.098539528961138529e+02 -1.099171335371170386e+02 -1.099792916976144284e+02 -1.100436138268710948e+02 -1.101098438803775252e+02 -1.101766540807054611e+02 -1.102420714604804743e+02 -1.103037550419754069e+02 -1.103603458818010523e+02 -1.104110048896419869e+02 -1.104554388574417771e+02 -1.104909356241778653e+02 -1.105136536872550579e+02 -1.105238155630163845e+02
5.053043625042201370e+02 -9.801154444255163867e+01 -9.803325862616070197e+01 -9.807147018901594038e+01 -9.810473389757267171e+01 -9.813393309602710701e+01 -9.815834884502665147e+01 -9.817754044105546996e+01 -9.819143183833780597e+01 -9.820014700449003442e+01 -9.820435156159743428e+01 -9.820499480301864992e+01 -9.820375753687983433e+01 -9.820185322162434716e+01 -9.820031936787933091e+01 -9.820040784222823049e+01
5.553043625042200802e+02 -1.009306016450831578e+02 -1.009406204208076616e+02 -1.009564228231517689e+02 -1.009679622428133996e+02 -1.009765377346008819e+02 -1.009826469593105855e+02 -1.009868537518616023e+02 -1.009897292335181476e+02 -1.009916970270532630e+02 -1.009931678471009064e+02 -1.009944575105604656e+02 -1.009961140049380646e+02 -1.009984808698074801e+02 -1.010019196380011550e+02 -1.010072027650850970e+02
6.053043625042200802e+02 -9.655948775332745981e+01 -9.656212186205412706e+01 -9.656632090953911529e+01 -9.656948708435625406e+01 -9.657209287957496713e+01 -9.657436539803373421e+01 -9.657649698251891834e+01 -9.657864585573952354e+01 -9.658088885438489513e+01 -9.658330382080106347e+01 -9.658594311815913613e+01 -9.658905230098885397e+01 -9.659275435974736013e+01 -9.659721240984505641e+01 -9.660269785112944874e+01
6.553043625042200802e+02 -9.615494266085541142e+01 -9.615751183975662286e+01 -9.616196874068801037e+01 -9.616619361443066794e+01 -9.617043118825144177e+01 -9.617474627521022512e+01 -9.617919261132566078e+01 -9.618381459631505948e+01 -9.618862226434204388e+01 -9.619362972953632607e+01 -9.619884072419294796e+01 -9.620438018787251622e+01 -9.621029216891409419e+01 -9.621665278235391838e+01 -9.622360929588012368e+01
7.065543625042200802e+02 -9.556322487229708429e+01 -9.556673271885642862e+01 -9.557287776177690830e+01 -9.557887067200077524e+01 -9.558496336691644046e+01 -9.559117232366629935e+01 -9.559751094857767839e+01 -9.560398940270899004e+01 -9.561060217119141669e+01 -9.561734597471139807e+01 -9.562421307717853836e+01 -9.563127075793772747e+01 -9.563852989295241969e+01 -9.564602283661160698e+01 -9.565382094281397940e+01
7.596793625042200802e+02 -9.279482419646959102e+01 -9.279856942175409529e+01 -9.280512925971106597e+01 -9.281151146325568391e+01 -9.281796639038343244e+01 -9.282449575467916247e+01 -9.283110196818925886e+01 -9.283778875402998665e+01 -9.284455646240637350e+01 -9.285141184717565466e+01 -9.285836658216226169e+01 -9.286548715454145508e+01 -9.287280551519367577e+01 -9.288037444213782123e+01 -9.288828159925284922e+01
8.096793625042200802e+02 -9.263944666225688707e+01 -9.264443038856283863e+01 -9.265299921247161308e+01 -9.266131468046874886e+01 -9.266974252063245387e+01 -9.267832440454907328e+01 -9.268713061048825352e+01 -9.269627746947278979e+01 -9.270594394653348047e+01 -9.271638707349876540e+01 -9.272790409268989720e+01 -9.274072846173980622e+01 -9.275469495451234536e+01 -9.276901297706432103e+01 -9.278258066122566561e+01
8.596793625042200802e+02 -9.755339138778278141e+01 -9.756081668076832614e+01 -9.757386207808977474e+01 -9.758698708810766220e+01 -9.760065413461042283e+01 -9.761485130498316209e+01 -9.762951923046306035e+01 -9.764455105201493268e+01 -9.765980420083103297e+01 -9.767513151383882075e+01 -9.769041634855690859e+01 -9.770562436158361663e+01 -9.772075697827581564e+01 -9.773586144603849846e+01 -9.775100185771488270e+01
9.096793625042200802e+02 -9.560020205469432142e+01 -9.564496761850264761e+01 -9.565766547031699929e+01 -9.567106866086221828e+01 -9.568455092204349910e+01 -9.569808020173961438e+01 -9.571167387818745453e+01 -9.572543425242298554e+01 -9.573960492076308526e+01 -9.575465875951489636e+01 -9.577140076021153448e+01 -9.579104937326621894e+01 -9.581508838741056877e+01 -9.584479296657887915e+01 -9.588006904780459649e+01
