TIME T_sat_Ch2_mesh1 T_sat_Ch2_mesh2 T_sat_Ch2_mesh3 T_sat_Ch2_mesh4 T_sat_Ch2_mesh5 T_sat_Ch2_mesh6 T_sat_Ch2_mesh7 T_sat_Ch2_mesh8 T_sat_Ch2_mesh9 T_sat_Ch2_mesh10 T_sat_Ch2_mesh11 T_sat_Ch2_mesh12 T_sat_Ch2_mesh13 T_sat_Ch2_mesh14 T_sat_Ch2_mesh15 
0.000000000000000000e+00 6.201579828352394088e+02 6.201161684746650735e+02 6.200256989691380340e+02 6.199272231053221276e+02 6.198868806535581371e+02 6.197896829437249835e+02 6.196917697030714862e+02 6.195906724934020531e+02 6.195499986267027452e+02 6.194500745368804928e+02 6.193493750455736517e+02 6.192453247865532830e+02 6.192042043552357882e+02 6.190987783798790360e+02 6.190346500734269739e+02
5.000040000000043960e+01 5.664448808110561231e+02 5.664272123060541162e+02 5.664029224642700910e+02 5.663787038644364884e+02 5.663579355386499401e+02 5.663345297368483671e+02 5.663114023391235605e+02 5.662883375359176625e+02 5.662690172419139572e+02 5.662465097768756550e+02 5.662241945872527822e+02 5.662018515752185976e+02 5.661836468327146576e+02 5.661611901068230281e+02 5.661453160779637983e+02
1.000003999999985922e+02 5.629073853560825000e+02 5.628883577435589132e+02 5.628678817442572608e+02 5.628517333533372948e+02 5.628378281194658257e+02 5.628257859559936378e+02 5.628150010368192397e+02 5.628052429493113777e+02 5.627959175955413684e+02 5.627872428110403007e+02 5.627795477991858206e+02 5.627726488020769011e+02 5.627661816532830699e+02 5.627580832785945404e+02 5.627518438073539073e+02
1.502405034099261059e+02 5.585754141870263538e+02 5.585588569938213368e+02 5.585343621508537808e+02 5.585142119594055430e+02 5.584970107124756851e+02 5.584816919138252160e+02 5.584679177050161343e+02 5.584553734696962692e+02 5.584435910328379578e+02 5.584323429103344552e+02 5.584218898003791764e+02 5.584119508282583411e+02 5.584034372225080460e+02 5.583930346149979869e+02 5.583851500824285949e+02
2.004200391960640388e+02 5.452030498968589427e+02 5.451841467148509537e+02 5.451590987874209304e+02 5.451382445582131595e+02 5.451199549712272301e+02 5.451034192369056655e+02 5.450884587343012981e+02 5.450748600166739379e+02 5.450621040047378756e+02 5.450500916474065889e+02 5.450386183354356717e+02 5.450316411552717000e+02 5.450297217895922586e+02 5.450284431583346532e+02 5.450274784428156636e+02
2.534293625042201370e+02 5.132463901048347452e+02 5.132243082945265087e+02 5.131926952698147488e+02 5.131675260486847492e+02 5.131456513345445956e+02 5.131258221334209111e+02 5.131082238345280757e+02 5.130918776642878356e+02 5.130783709121791389e+02 5.130731396005521674e+02 5.130718235525566797e+02 5.130705312143167021e+02 5.130694338180633167e+02 5.130681775622639407e+02 5.130673182095018774e+02
3.034293625042201370e+02 4.612584528813000020e+02 4.611665190780771582e+02 4.610419590735584734e+02 4.609209610219869546e+02 4.608011358067326455e+02 4.606868708578903124e+02 4.605862849950328837e+02 4.605006842379257819e+02 4.604279482692268175e+02 4.603623044430635787e+02 4.603037995107046640e+02 4.602534326725556184e+02 4.602101604173634541e+02 4.601753342158635860e+02 4.601692982318402301e+02
3.534293625042201370e+02 4.516748762664035439e+02 4.515530958462395006e+02 4.514006997470301599e+02 4.512521615220604190e+02 4.511041768806119876e+02 4.509564366643237463e+02 4.508156623841122155e+02 4.506923066611702211e+02 4.505875749219099475e+02 4.504961428070299689e+02 4.504161434978186662e+02 4.503441033591533369e+02 4.502828303824153977e+02 4.502180267363693247e+02 4.501663856351765389e+02
4.034293625042201370e+02 4.524883761274522840e+02 4.523693308776332174e+02 4.522205496118213546e+02 4.520757164670368979e+02 4.519315998073901710e+02 4.517969599850694067e+02 4.516809388902906903e+02 4.515812943777410737e+02 4.514937967159784193e+02 4.514145519953739267e+02 4.513431014521798943e+02 4.512771459081613443e+02 4.512197454042524782e+02 4.511571924053504858e+02 4.511078431455158011e+02
4.534293625042201370e+02 4.578581370758361118e+02 4.577491611727098757e+02 4.576140735428199946e+02 4.574832241082020801e+02 4.573603961076831865e+02 4.572532902799533758e+02 4.571604663882083059e+02 4.570784428900741432e+02 4.570045043436805372e+02 4.569362043065842727e+02 4.568739141303396423e+02 4.568154825526592049e+02 4.567645039287799023e+02 4.567084232348198611e+02 4.566636870819742171e+02
5.034293625042201370e+02 4.599690108461713862e+02 4.598648940327291257e+02 4.597352372955363649e+02 4.596097038449999559e+02 4.594922924059127354e+02 4.593903037772602715e+02 4.593021898397928453e+02 4.592246449441213372e+02 4.591550184644162300e+02 4.590909058302873973e+02 4.590327553115155865e+02 4.589782403605522063e+02 4.589311636133460297e+02 4.588790957134186783e+02 4.588375288648552441e+02
5.534293625042200802e+02 4.606625207828661814e+02 4.605597985510656258e+02 4.604318681485491993e+02 4.603079722659294930e+02 4.601919568816405786e+02 4.600910110407133971e+02 4.600037522361845959e+02 4.599269326703150682e+02 4.598579270714282643e+02 4.597943735765844622e+02 4.597366952934027040e+02 4.596826328879253651e+02 4.596358680297911974e+02 4.595842000398784535e+02 4.595429580533224225e+02
6.034293625042200802e+02 4.608358350227587721e+02 4.607334971640427739e+02 4.606060491179919723e+02 4.604826098473242268e+02 4.603671763902653993e+02 4.602667981160673207e+02 4.601798813325503943e+02 4.601032547051445931e+02 4.600343364770120047e+02 4.599708067553713136e+02 4.599130919147160625e+02 4.598589758608383136e+02 4.598120884771988131e+02 4.597603140803637984e+02 4.597189942021063871e+02
6.560543625042200802e+02 4.607365813854011662e+02 4.606340969399184928e+02 4.605064671824699758e+02 4.603828395393970823e+02 4.602672937986638431e+02 4.601668077110512058e+02 4.600796703971885790e+02 4.600027579401132130e+02 4.599335119813040365e+02 4.598696362088072078e+02 4.598115582129568111e+02 4.597570879109456428e+02 4.597098263345201872e+02 4.596576737986750913e+02 4.596160620600998641e+02
7.060543625042200802e+02 4.604786226371282964e+02 4.603756809354277379e+02 4.602474785332522060e+02 4.601232809881694266e+02 4.600071909600251274e+02 4.599061663094632877e+02 4.598184609670120153e+02 4.597409756680663122e+02 4.596711596070708197e+02 4.596067267289172378e+02 4.595481028267955708e+02 4.594931129269629082e+02 4.594453415763227326e+02 4.593926645264700710e+02 4.593506453812466361e+02
7.560543625042200802e+02 4.601528086175241583e+02 4.600492714603938111e+02 4.599203237921857408e+02 4.597953912777072674e+02 4.596785944093196576e+02 4.595768809329447890e+02 4.594884723567429887e+02 4.594102913290667516e+02 4.593397932064524412e+02 4.592746996964016830e+02 4.592154361927061927e+02 4.591598369659164405e+02 4.591114811577484147e+02 4.590581956584085788e+02 4.590157077109992088e+02
8.060543625042200802e+02 4.596312473787157273e+02 4.595267597790827381e+02 4.593966325577559360e+02 4.592705707942175195e+02 4.591534714019375656e+02 4.590522315150996064e+02 4.589642252969022707e+02 4.588863597966690122e+02 4.588160814840624084e+02 4.587511262169313113e+02 4.586919677621847313e+02 4.586364089657035947e+02 4.585881078238385271e+02 4.585347799775681779e+02 4.584921929264221490e+02
8.560543625042200802e+02 4.573559936916560673e+02 4.572472477438113287e+02 4.571119384351384838e+02 4.569859891759617767e+02 4.568752119030116319e+02 4.567803654132032420e+02 4.566975897531382316e+02 4.566241546174310315e+02 4.565576482646051772e+02 4.564958364484609206e+02 4.564396111206101523e+02 4.563864213878886744e+02 4.563406942718186201e+02 4.562893267442788101e+02 4.562478738449440243e+02
9.060543625042200802e+02 4.545097393857097927e+02 4.543958767371649401e+02 4.542537940678204791e+02 4.541241935825622704e+02 4.540124519585487519e+02 4.539160598161971052e+02 4.538314930227464288e+02 4.537561699853363848e+02 4.536877724414723616e+02 4.536240052098207798e+02 4.535659259096078699e+02 4.535108573420089328e+02 4.534635508127169032e+02 4.534102188156803663e+02 4.533671940171788037e+02
9.560543625042200802e+02 4.521349452426575226e+02 4.520160306729582089e+02 4.518675378001773879e+02 4.517332033499556019e+02 4.516184011303259922e+02 4.515191671754172376e+02 4.514319799611087660e+02 4.513542333318587794e+02 4.512835747195964018e+02 4.512176302682256619e+02 4.511575616281496650e+02 4.511005528331300525e+02 4.510516281183633964e+02 4.509963530619156700e+02 4.509516933001648908e+02
1.006054362504220080e+03 4.499998284865941969e+02 4.498760649378343146e+02 4.497214933061334250e+02 4.495828861844767061e+02 4.494655116954797904e+02 4.493639745856161198e+02 4.492747144378946587e+02 4.491950682819502845e+02 4.491226475304217729e+02 4.490549896714525175e+02 4.489933826261185459e+02 4.489348291365513433e+02 4.488846868748263432e+02 4.488278508521569847e+02 4.487818618735349787e+02
1.056054362504220080e+03 4.472984835942594373e+02 4.471704894716793888e+02 4.470082963242190317e+02 4.468614183959817296e+02 4.467356795273329908e+02 4.466267749485696186e+02 4.465309558122939961e+02 4.464453835786312084e+02 4.463676868545583147e+02 4.462951554416948170e+02 4.462289893494539683e+02 4.461664167602811517e+02 4.461125917416877655e+02 4.460519373887892698e+02 4.460033934422602897e+02
1.106054362504220080e+03 4.439489768035822408e+02 4.438106321601603668e+02 4.436426171548364437e+02 4.434991246999867371e+02 4.433788582204716704e+02 4.432742830003729750e+02 4.431821308120605636e+02 4.430997162699125056e+02 4.430246826834043077e+02 4.429542693889727047e+02 4.428903618506434441e+02 4.428292045451612466e+02 4.427774332987067396e+02 4.427179717469429079e+02 4.426689582711347839e+02
1.156054362504220080e+03 4.410865433701679876e+02 4.409403438950083114e+02 4.407626176327863732e+02 4.406108589993767168e+02 4.404836847847917625e+02 4.403731596195256088e+02 4.402757690709028111e+02 4.401886719321253736e+02 4.401093915586658341e+02 4.400350088764192833e+02 4.399674634821560630e+02 4.399028730227477695e+02 4.398481478762519146e+02 4.397852814955641634e+02 4.397336482660670072e+02
1.206054362504220080e+03 4.384740954586852126e+02 4.383193125218260775e+02 4.381309556792635362e+02 4.379689812102113819e+02 4.378333039626375580e+02 4.377156409693730552e+02 4.376121792778617419e+02 4.375197968378361111e+02 4.374359152755434934e+02 4.373573137615263136e+02 4.372860250354061122e+02 4.372179363141415251e+02 4.371603685728234154e+02 4.370941143674945124e+02 4.370400479116595420e+02
1.256054362504220080e+03 4.365234585603432720e+02 4.363625432855852750e+02 4.361665832677979893e+02 4.359987125822654548e+02 4.358584806677253596e+02 4.357369934822090727e+02 4.356301914099645387e+02 4.355348250457691393e+02 4.354481734592400244e+02 4.353669426547210151e+02 4.352933216256631681e+02 4.352228537468421905e+02 4.351634040004404369e+02 4.350948005420470963e+02 4.350387210844612582e+02
1.306054362504220080e+03 4.346610890967477872e+02 4.344928337107496645e+02 4.342902027833748662e+02 4.341187666259262983e+02 4.339764692481959401e+02 4.338536113126558575e+02 4.337459171606274140e+02 4.336499507163568978e+02 4.335629671673354437e+02 4.334813640985613574e+02 4.334077554659754696e+02 4.333370032990994218e+02 4.332779685202294218e+02 4.332091914987424843e+02 4.331526532385287851e+02
1.356054362504220080e+03 4.328503362665056784e+02 4.326747140132935101e+02 4.324575833728131329e+02 4.322663729868005476e+02 4.321065089648102457e+02 4.319691271004760438e+02 4.318491822302402170e+02 4.317426694562605007e+02 4.316465004548272191e+02 4.315567781560662297e+02 4.314756070341594523e+02 4.313983617190024802e+02 4.313332182574955027e+02 4.312582280276516258e+02 4.311977364599576958e+02
1.406054362504220080e+03 4.316404491564536556e+02 4.314602117663936838e+02 4.312437094177562358e+02 4.310607107434125851e+02 4.309085676157711760e+02 4.307769724540353877e+02 4.306614678720318352e+02 4.305584177503956766e+02 4.304648520571432755e+02 4.303770599517292794e+02 4.302977934290961457e+02 4.302215229013127100e+02 4.301577525589775632e+02 4.300836677482354844e+02 4.300226281433911026e+02
1.456054362504220080e+03 4.303536423474719186e+02 4.301683502100664214e+02 4.299384998375255122e+02 4.297357356970574074e+02 4.295664720162133108e+02 4.294211905458325873e+02 4.292942677713453463e+02 4.291814549398947065e+02 4.290793071871854636e+02 4.289839999150701715e+02 4.288976202936188997e+02 4.288153006100036464e+02 4.287456088958513192e+02 4.286655520407873610e+02 4.286008747583479703e+02
1.506054362504220080e+03 4.292015789370172456e+02 4.290106516630489750e+02 4.287811867250664477e+02 4.285870626552011800e+02 4.284266245888569529e+02 4.282884446537185568e+02 4.281674381595116756e+02 4.280596687793634487e+02 4.279619677463306289e+02 4.278702472091978848e+02 4.277879487382384696e+02 4.277081956084703052e+02 4.276425297851667437e+02 4.275655541450585133e+02 4.275016609087271604e+02
1.556054362504220080e+03 4.285242495378480498e+02 4.283284090419357995e+02 4.280965439208526959e+02 4.279026481068755174e+02 4.277431687823108177e+02 4.276064401127904375e+02 4.274873511181176582e+02 4.273818155595161556e+02 4.272868131801317872e+02 4.271978243347442117e+02 4.271188044908428765e+02 4.270421271165195094e+02 4.269806372409534561e+02 4.269073028361274851e+02 4.268460803364699814e+02
1.606054362504220080e+03 4.262745041468524505e+02 4.260688490941810187e+02 4.258166364640962911e+02 4.256001270012168334e+02 4.254273123510427013e+02 4.252820830297796419e+02 4.251564657321331424e+02 4.250449559685573035e+02 4.249434679388517679e+02 4.248480471066283144e+02 4.247613210122800638e+02 4.246777562097912551e+02 4.246067257548156704e+02 4.245236809554452293e+02 4.244557274964514590e+02
1.656054362504220080e+03 4.237583682654916402e+02 4.235474464404428545e+02 4.232925288884312067e+02 4.230781395706948160e+02 4.229005541020678720e+02 4.227472130126660659e+02 4.226128085059266368e+02 4.224929673004881465e+02 4.223846202793374687e+02 4.222828910183152971e+02 4.221909269404731049e+02 4.221026952236181842e+02 4.220290611135078507e+02 4.219423137464874571e+02 4.218726885622880332e+02
1.706054362504220080e+03 4.221383439036961249e+02 4.219161853149455510e+02 4.216458725165774695e+02 4.214137005329882300e+02 4.212211040744763295e+02 4.210550473073407716e+02 4.209096354066309118e+02 4.207799689854521716e+02 4.206628540091047057e+02 4.205528871550310441e+02 4.204527436585336773e+02 4.203572774121792008e+02 4.202765282447553545e+02 4.201818513237151933e+02 4.201077007337495388e+02
