TIME P_Ch3_mesh1 P_Ch3_mesh2 P_Ch3_mesh3 P_Ch3_mesh4 P_Ch3_mesh5 P_Ch3_mesh6 P_Ch3_mesh7 P_Ch3_mesh8 P_Ch3_mesh9 P_Ch3_mesh10 P_Ch3_mesh11 P_Ch3_mesh12 P_Ch3_mesh13 P_Ch3_mesh14 P_Ch3_mesh15 
0.000000000000000000e+00 1.594247949001022801e+07 1.593442533805396780e+07 1.591668893332055397e+07 1.589743324815772660e+07 1.588959095089949667e+07 1.587061452796534821e+07 1.585153053388138488e+07 1.583182744595946558e+07 1.582394441878006794e+07 1.580449994450080208e+07 1.578493648300473578e+07 1.576472468395829201e+07 1.575677890958294831e+07 1.573633927348280326e+07 1.572389676600678638e+07
5.000040000000043960e+01 7.591554948282747529e+06 7.590028663083023392e+06 7.588062383045049384e+06 7.586297892549136654e+06 7.584666771687927656e+06 7.583113920092743821e+06 7.581643122549227439e+06 7.580241847881270573e+06 7.578916414967788383e+06 7.577612612016011961e+06 7.576354242573895492e+06 7.575134437389342114e+06 7.574003069854451343e+06 7.572770345514277928e+06 7.571778856996158138e+06
1.000003999999985922e+02 6.422019554993864149e+06 6.420398678880694322e+06 6.418216781713647768e+06 6.416446585515971296e+06 6.414925013829156756e+06 6.413565068923101760e+06 6.412362034915097989e+06 6.411302280223766342e+06 6.410336390784774907e+06 6.409461677659744397e+06 6.408669514819450676e+06 6.407964319753822871e+06 6.407370681738729589e+06 6.406597194955389015e+06 6.405972116454711184e+06
1.502405034099261059e+02 3.374620417352713179e+06 3.373371223698563874e+06 3.372008516710775904e+06 3.371616651107331272e+06 3.371470824785582721e+06 3.371392269152812194e+06 3.371321276593338698e+06 3.371251411540700588e+06 3.371186187774165068e+06 3.371118307500559371e+06 3.371050464134258218e+06 3.370982297488619573e+06 3.370918311292480677e+06 3.370850278095097747e+06 3.370799375400901306e+06
2.004200391960640388e+02 8.787832309784400277e+05 8.767292414914258989e+05 8.741251117133171065e+05 8.720136113135524793e+05 8.704550274349016836e+05 8.690102472773351474e+05 8.681500104812789941e+05 8.680620008931984194e+05 8.680212974675782025e+05 8.679442448160662316e+05 8.678599211627513869e+05 8.677662541650739731e+05 8.677086589742914075e+05 8.676078800637793029e+05 8.675581194510303903e+05
2.553043625042201370e+02 8.031687588660112815e+05 8.004768964618522441e+05 7.972604041585541563e+05 7.945538188437985955e+05 7.922857804305341560e+05 7.902972035126098199e+05 7.885382356420794968e+05 7.869815876640912611e+05 7.855890635787106585e+05 7.843037657231239136e+05 7.831452078315643594e+05 7.820732210123245604e+05 7.811784030791887781e+05 7.803999386143242009e+05 7.801201728989073308e+05
3.053043625042201370e+02 7.623672609335734742e+05 7.596370423051780090e+05 7.562700025083480868e+05 7.533052211926559685e+05 7.508455654978669481e+05 7.487563593742322410e+05 7.469438848554030992e+05 7.453450875146157341e+05 7.439121517482107738e+05 7.425779266060329974e+05 7.413688194825625978e+05 7.402278502449285006e+05 7.392668465305737918e+05 7.381501313412066083e+05 7.372524099560943432e+05
3.553043625042201370e+02 7.578143331422141055e+05 7.550715122387958691e+05 7.516520976673496189e+05 7.483535970872924663e+05 7.453299334879759699e+05 7.427608212011043215e+05 7.405799025730526773e+05 7.386899236054180656e+05 7.370174846508351620e+05 7.354881872499291785e+05 7.341109528985150391e+05 7.328285293873825576e+05 7.317394341253220337e+05 7.305154101285511861e+05 7.295364159763318021e+05
4.053043625042201370e+02 8.624810918193461839e+05 8.600215449424705002e+05 8.567069803790360456e+05 8.535067178592839045e+05 8.505430371011053212e+05 8.479873217494725250e+05 8.457859853306064615e+05 8.438679895981675945e+05 8.421642810126853874e+05 8.406130857804912375e+05 8.392389083517807303e+05 8.379509354387231870e+05 8.368933555588135496e+05 8.357069807449245127e+05 8.347253469135091873e+05
4.553043625042201370e+02 8.552193447541611968e+05 8.524776357860366115e+05 8.490729025632118573e+05 8.459231240934969392e+05 8.431786328807410318e+05 8.408669304227001267e+05 8.388814714349429123e+05 8.371378831505022245e+05 8.355752255777370883e+05 8.341324364517794456e+05 8.328297968266160460e+05 8.316028894886113703e+05 8.305636884543002816e+05 8.293861978286181111e+05 8.284201844516547862e+05
5.053043625042201370e+02 8.551278877252066741e+05 8.523893116103155771e+05 8.489845870056183776e+05 8.457824783872407861e+05 8.429497529190477217e+05 8.405754210274295183e+05 8.385476309066663962e+05 8.367763536591803422e+05 8.351943062183182919e+05 8.337388068958782824e+05 8.324288566634324379e+05 8.311961814916476142e+05 8.301548193979299394e+05 8.289771529311295599e+05 8.280082329704574076e+05
5.553043625042200802e+02 8.501551487615620717e+05 8.474144870925041614e+05 8.440086373717221431e+05 8.408080218248994788e+05 8.379777763926528860e+05 8.356031338586319471e+05 8.335730945220830617e+05 8.317983536172455642e+05 8.302119384132017149e+05 8.287517067179784644e+05 8.274365562901281519e+05 8.261986657669622218e+05 8.251514795117001049e+05 8.239679723974866793e+05 8.229949617827133043e+05
6.053043625042200802e+02 8.405018241442906437e+05 8.377612985889366828e+05 8.343543428737297654e+05 8.311509041377669200e+05 8.283144626664846437e+05 8.259317967760516331e+05 8.238934096669685096e+05 8.221104334933608770e+05 8.205159266960960813e+05 8.190481049938263604e+05 8.177255659455367131e+05 8.164808137359301327e+05 8.154267731322926702e+05 8.142366911309047136e+05 8.132595754410257796e+05
6.559293625042200802e+02 8.273673525795288151e+05 8.246253590759523213e+05 8.212163437853646465e+05 8.180084055836317129e+05 8.151642454104599310e+05 8.127729763385677943e+05 8.107262060941840755e+05 8.089352383251776919e+05 8.073330187895589042e+05 8.058580208158232272e+05 8.045283988803066313e+05 8.032771638094830560e+05 8.022164325651999097e+05 8.010198601846684469e+05 8.000390061551876133e+05
7.059293625042200802e+02 8.129276396235958673e+05 8.101834021408158587e+05 8.067720621579620056e+05 8.035646722133635776e+05 8.007226948346965946e+05 7.983315198630905943e+05 7.962833815983016975e+05 7.944901087864587316e+05 7.928849730913762469e+05 7.914068021041800966e+05 7.900737038188086590e+05 7.888189558073960943e+05 7.877543713935118867e+05 7.865538006376121193e+05 7.855707866512096953e+05
7.559293625042200802e+02 7.978320888398435200e+05 7.950875674175792374e+05 7.916745711831165245e+05 7.884681612608653959e+05 7.856278804868562147e+05 7.832357512729679001e+05 7.811851784772537649e+05 7.793886631609823089e+05 7.777799181680438342e+05 7.762980634248192655e+05 7.749612532987718005e+05 7.737028446502466686e+05 7.726346523278526729e+05 7.714304082200318808e+05 7.704455778342572739e+05
8.059293625042200802e+02 7.754823685769630829e+05 7.727388711117323255e+05 7.693249647259165067e+05 7.661408605241997866e+05 7.633477004937800812e+05 7.610026133754166076e+05 7.589948351225721417e+05 7.572371738547133282e+05 7.556644599000846501e+05 7.542150326080782106e+05 7.529097045625221217e+05 7.516787513203946874e+05 7.506385116331877653e+05 7.494600977544278139e+05 7.484931098474406172e+05
8.559293625042200802e+02 7.467020147031982196e+05 7.439769755762482528e+05 7.405680311837306945e+05 7.374097526629585773e+05 7.346505418585749576e+05 7.323212732806714484e+05 7.303178653021693463e+05 7.285587428618181730e+05 7.269819407386945095e+05 7.255272252939887112e+05 7.242163392140249489e+05 7.229798459294259083e+05 7.219348335087174783e+05 7.207516790540708462e+05 7.197839527965607122e+05
9.059293625042200802e+02 7.114072576172533445e+05 7.086590737713697599e+05 7.052399997313319473e+05 7.021271093610508833e+05 6.994658881266583921e+05 6.972218801089819754e+05 6.952901542083679233e+05 6.935917643980234861e+05 6.920674500413015485e+05 6.906572340146264760e+05 6.893857952703970950e+05 6.881826752253618324e+05 6.871678687327905791e+05 6.860107211588815553e+05 6.850619021735250717e+05
9.559293625042200802e+02 6.878924134947103448e+05 6.851413396160854027e+05 6.817202584477836499e+05 6.786400021545105847e+05 6.760375773624050198e+05 6.738382727277599042e+05 6.719404998839762993e+05 6.702691908422982087e+05 6.687673720212292392e+05 6.673757045374262379e+05 6.661213420698579866e+05 6.649317498039972270e+05 6.639307464684693841e+05 6.627855762383184629e+05 6.618448094245170942e+05
