TIME T_liq_Ch3_mesh1 T_liq_Ch3_mesh2 T_liq_Ch3_mesh3 T_liq_Ch3_mesh4 T_liq_Ch3_mesh5 T_liq_Ch3_mesh6 T_liq_Ch3_mesh7 T_liq_Ch3_mesh8 T_liq_Ch3_mesh9 T_liq_Ch3_mesh10 T_liq_Ch3_mesh11 T_liq_Ch3_mesh12 T_liq_Ch3_mesh13 T_liq_Ch3_mesh14 T_liq_Ch3_mesh15 
0.000000000000000000e+00 5.633130860106322189e+02 5.633119256685481560e+02 5.650952238518750619e+02 5.683905670249185960e+02 5.715776551754569255e+02 5.746080290779710822e+02 5.774862214199708887e+02 5.802887290773561517e+02 5.830192241278057281e+02 5.856402827312845147e+02 5.882199012647158725e+02 5.908681662554778313e+02 5.935659694537130235e+02 5.950788334933969281e+02 5.951010033598602149e+02
5.000040000000043960e+01 5.635039212947145870e+02 5.637490078044072561e+02 5.635379328991463126e+02 5.634565402117665371e+02 5.634098901864214213e+02 5.633760907092579373e+02 5.633485360169337355e+02 5.633293387761317490e+02 5.633152010785892116e+02 5.633019381092060485e+02 5.632878382991373201e+02 5.632805371896515680e+02 5.632657727415702311e+02 5.632760485219828297e+02 5.632246111929780454e+02
1.000003999999985922e+02 5.462223510388070054e+02 5.465885714842476091e+02 5.462757005453030388e+02 5.461218845409639471e+02 5.460441523232593681e+02 5.459934385036517597e+02 5.459474505942367841e+02 5.459088676224074561e+02 5.458709542224296456e+02 5.458312303144630278e+02 5.457932070041322277e+02 5.457592337060729051e+02 5.457625426343656727e+02 5.457171608577671122e+02 5.456074012678950567e+02
1.502405034099261059e+02 4.602689265672265151e+02 4.602561651275863710e+02 4.602552605538405146e+02 4.602543800572676673e+02 4.602535687037929506e+02 4.602527117837560127e+02 4.602518509792268446e+02 4.602509743810159648e+02 4.602501651125899116e+02 4.602492877692666866e+02 4.602484046110386089e+02 4.602475064379947867e+02 4.602466914478300737e+02 4.602457769267471690e+02 4.602451426286819469e+02
2.004200391960640388e+02 4.378518291913140956e+02 4.377539172712172331e+02 4.375932679304123099e+02 4.374699835882351522e+02 4.373708711541328853e+02 4.372900470831278312e+02 4.372273661790297297e+02 4.371988049672746115e+02 4.371078348298731839e+02 4.370983155729646796e+02 4.370914492724247111e+02 4.370837859353874819e+02 4.370789853591396081e+02 4.370704107856351470e+02 4.370662245886304618e+02
2.553043625042201370e+02 4.344533515802277748e+02 4.350081572546382631e+02 4.376487270471405395e+02 4.383691087551398482e+02 4.382948651125529977e+02 4.381721356083680803e+02 4.380673167427710268e+02 4.379766131926044181e+02 4.378969189577268821e+02 4.378221389066216034e+02 4.377509185132425955e+02 4.376949293604205877e+02 4.376582664964633977e+02 4.375789492931262998e+02 4.375143315541302513e+02
3.053043625042201370e+02 4.302248079759897337e+02 4.307356289146754875e+02 4.341907306965220528e+02 4.379396675399671039e+02 4.383135831929727146e+02 4.381747294663631465e+02 4.381288192530714127e+02 4.380837807287675219e+02 4.380473564424140704e+02 4.379811378407567304e+02 4.379657278765099022e+02 4.379242228287650960e+02 4.379178797240439849e+02 4.376025069166874459e+02 4.355970013564591454e+02
3.553043625042201370e+02 4.259060522167329168e+02 4.262216055771151559e+02 4.293523299738249648e+02 4.349440073012168568e+02 4.374098780637420987e+02 4.376463627635994271e+02 4.375868139490764293e+02 4.374949602197396530e+02 4.374081135313384152e+02 4.373231409154374774e+02 4.372466118732954214e+02 4.371723193089119377e+02 4.371160882367923364e+02 4.370022893217806086e+02 4.368187375581410947e+02
4.053043625042201370e+02 4.284975513864978893e+02 4.293218143473400232e+02 4.337453952778287771e+02 4.393990965386018956e+02 4.406341839201191419e+02 4.406460894524919354e+02 4.405405542785219382e+02 4.404396635312224930e+02 4.403492121514295832e+02 4.402660166347400263e+02 4.401900371868848083e+02 4.401202215168702878e+02 4.400597890247236137e+02 4.399866721659014956e+02 4.399075062922296979e+02
4.553043625042201370e+02 4.295232404246243050e+02 4.294867158769532125e+02 4.338569524471433851e+02 4.404934982608683072e+02 4.414234317446524187e+02 4.413609697910812315e+02 4.412513575656413991e+02 4.411556263813643568e+02 4.410710675762895221e+02 4.409934435034815010e+02 4.409230167014903259e+02 4.408586657201527146e+02 4.408027298175876467e+02 4.407356383503461075e+02 4.406617760503235104e+02
