TIME void_Ch3_mesh1 void_Ch3_mesh2 void_Ch3_mesh3 void_Ch3_mesh4 void_Ch3_mesh5 void_Ch3_mesh6 void_Ch3_mesh7 void_Ch3_mesh8 void_Ch3_mesh9 void_Ch3_mesh10 void_Ch3_mesh11 void_Ch3_mesh12 void_Ch3_mesh13 void_Ch3_mesh14 void_Ch3_mesh15 
0.000000000000000000e+00 1.020922114411899294e-05 1.020939273052746068e-05 1.020882848170312699e-05 1.020745131894299321e-05 1.020583209447052546e-05 1.020447234509394383e-05 1.020314147792257324e-05 1.020180595356578348e-05 1.020021254145741457e-05 1.019885843005042817e-05 1.019746587386831080e-05 1.019596176556267762e-05 1.019409761155669489e-05 1.019331859439897771e-05 1.019353945337985338e-05
5.000040000000043960e+01 4.058721777495754024e-01 1.267171524416477457e-01 2.841921213393169277e-01 4.077287451148814412e-01 4.749382979393134696e-01 5.255042007055543696e-01 5.737552516893679178e-01 6.035133588964606277e-01 6.222137076900977615e-01 6.375597568625639422e-01 6.722820560771785026e-01 6.623648471929481918e-01 7.486538693155762036e-01 5.461494857133220027e-01 7.348186810556033288e-01
1.000003999999985922e+02 4.044430320935520351e-01 2.052221769848045219e-01 3.330653608781966035e-01 4.379577723408633050e-01 4.948292307147488245e-01 5.276308292738389749e-01 5.572712032291942119e-01 5.845881828290617754e-01 6.162468023942924145e-01 6.675012331735062920e-01 7.340489191297192573e-01 7.656754863144989987e-01 8.041817884567509234e-01 8.460190699720302465e-01 9.996351549395978697e-01
1.502405034099261059e+02 9.999989953211011473e-01 9.999942235035416127e-01 9.999941682721612546e-01 9.999941536864832559e-01 9.999939433677498268e-01 9.999935841953567772e-01 9.999933934986686701e-01 9.999930599501311024e-01 9.999926599383596182e-01 9.999919803798064111e-01 9.999915973436425132e-01 9.999908519028123388e-01 9.999894858995385105e-01 9.999850590396208716e-01 9.998948755262130339e-01
2.004200391960640388e+02 5.854459504943196890e-01 1.577971770417528341e-01 3.168506154374897132e-01 5.084041142437299987e-01 5.836683659887318409e-01 6.474780234378582078e-01 6.408178266362160036e-01 9.998002797993922330e-01 9.999238822494874723e-01 9.999603849260854105e-01 9.999747463013867188e-01 9.999814072341941529e-01 9.999850788415305392e-01 9.999870283280544170e-01 9.999789294789767080e-01
2.553043625042201370e+02 7.869537951392279644e-04 8.498772934397660244e-05 4.727600176905059903e-02 2.435770211361095727e-01 4.007694713572631517e-01 4.744746942411036672e-01 5.238420524627919184e-01 5.551400749323562867e-01 6.090717000124640235e-01 6.384942462480889258e-01 6.857888850532392055e-01 6.972947456128198995e-01 8.732928856897842484e-01 6.692710308809413089e-01 9.219052147560615751e-01
3.053043625042201370e+02 4.292419632961293522e-04 2.825219331573787214e-04 4.463373142343610449e-05 8.101793906684780222e-02 2.361644102092972097e-01 3.559128931321629552e-01 4.466166455548418179e-01 5.131225969543716792e-01 5.620728589129311281e-01 5.948888078530234491e-01 6.488957232365734074e-01 6.478573306837155377e-01 7.567723463261459838e-01 5.791903864114439360e-01 7.825394119598489961e-01
3.553043625042201370e+02 1.506461552209801603e-04 1.289878173574707720e-04 7.179775123308203874e-05 1.553681297896683931e-05 1.235709811330013008e-01 2.649855542802846964e-01 3.786506575730173574e-01 4.571910285021832943e-01 5.164253836976994139e-01 5.569370704548428641e-01 6.157752642255384101e-01 6.195098887238456031e-01 7.317087999243075958e-01 5.534800018049867987e-01 7.667400764170501093e-01
4.053043625042201370e+02 9.611124672453170319e-05 8.786538623420542553e-05 1.947281632221970325e-05 4.194332039306435111e-02 2.044431940216872301e-01 3.160544899052352696e-01 4.037239884581005911e-01 4.577685032517364583e-01 4.999228122533339591e-01 5.385958868652307441e-01 5.976738758919760697e-01 6.104812261951337860e-01 7.205539696051959098e-01 5.575208822397685893e-01 7.369803194976535243e-01
4.553043625042201370e+02 9.035682544129680345e-05 8.480788329102611274e-05 1.545931626936135610e-05 4.756275694921877073e-02 2.168315718361408240e-01 3.443883912510504186e-01 4.399788472557439878e-01 5.080149375571942905e-01 5.581193915017369500e-01 5.901412249215310935e-01 6.503711775367538861e-01 6.384523731905905608e-01 7.660591616744852894e-01 5.614652983424067711e-01 7.969139420387472139e-01
5.053043625042201370e+02 6.638837864168810104e-05 6.654708806966974644e-05 1.393703530079981369e-05 5.859779914130385653e-02 2.227030349303402990e-01 3.467617283806114781e-01 4.396916935966738160e-01 5.066305067139832419e-01 5.556873402362897396e-01 5.875211932048937102e-01 6.469762194618853268e-01 6.355662645994584192e-01 7.620016743855733132e-01 5.583210460411937026e-01 7.933834255647105316e-01
5.553043625042200802e+02 4.407939347719147869e-05 4.628751743280155401e-05 1.248730791524882766e-05 6.349508673996906438e-02 2.251549357563024378e-01 3.476184632851300194e-01 4.393115670108606041e-01 5.057051372387537658e-01 5.542112268241422557e-01 5.859412610386118825e-01 6.449873484050999695e-01 6.337762274866088896e-01 7.596764894881337105e-01 5.562321669387214618e-01 7.917010153989331167e-01
6.053043625042200802e+02 2.881633596274349877e-05 3.072536742857296760e-05 1.142538140731872401e-05 6.175167184253515379e-02 2.229762042676753930e-01 3.453883105280596832e-01 4.372820302348603971e-01 5.037287046007175029e-01 5.523358569363229220e-01 5.842430004110777952e-01 6.431738705317019411e-01 6.323315947667292880e-01 7.577885034172898715e-01 5.549340074786139887e-01 7.905900573736545089e-01
6.569293625042200802e+02 1.988780084490178481e-05 2.101451532816734136e-05 1.076061503594797932e-05 6.052942837141136317e-02 2.209966792860335039e-01 3.432283690657897957e-01 4.351511008752346754e-01 5.016200433232721467e-01 5.502354305088377195e-01 5.823632589769511814e-01 6.410001397939474321e-01 6.307812770548517634e-01 7.553540358786096087e-01 5.535988805112205258e-01 7.890615529584078525e-01
7.069293625042200802e+02 1.538471689713162812e-05 1.599964884175446127e-05 1.040744888854091013e-05 6.200324853432695460e-02 2.212424678603326922e-01 3.428140068612421931e-01 4.342843755424779517e-01 5.005607280490615985e-01 5.490037151628436307e-01 5.811866381896325651e-01 6.395676069562726829e-01 6.296736512671330388e-01 7.536818269503633427e-01 5.525636132319795557e-01 7.883018098854464029e-01
7.569293625042200802e+02 1.310904773054073091e-05 1.343063915045888405e-05 1.023182685656613737e-05 6.450764795841874844e-02 2.228163447620668258e-01 3.437280241625003674e-01 4.346570716959485825e-01 5.006845238849885193e-01 5.488776641405797019e-01 5.809888251928710945e-01 6.392160268233090248e-01 6.292589611165854135e-01 7.531762754853120745e-01 5.520127446280647110e-01 7.886664192761952963e-01
8.069293625042200802e+02 1.239599332525192096e-05 1.250947996765612623e-05 1.014849067268846452e-05 9.741004327786272066e-02 2.513161064789709020e-01 3.669770046499938321e-01 4.528098155999469854e-01 5.160231408325692826e-01 5.616032527813195063e-01 5.915685639738050838e-01 6.496766397519246894e-01 6.360360266069088331e-01 7.628222799678056054e-01 5.566203516477290503e-01 7.977434526190798625e-01
8.569293625042200802e+02 1.345798607535958172e-05 1.302027129318194568e-05 1.019526592541999661e-05 9.548962809249625372e-02 2.491112773516830359e-01 3.648072368979864422e-01 4.513761183068107918e-01 5.149019255117321947e-01 5.610245259620137981e-01 5.913684417722349096e-01 6.491939901847835204e-01 6.367725461467188541e-01 7.617742058934616756e-01 5.585337571255938327e-01 7.976470127618492389e-01
