TIME P_Ch0_mesh1 P_Ch0_mesh2 P_Ch0_mesh3 P_Ch0_mesh4 P_Ch0_mesh5 P_Ch0_mesh6 P_Ch0_mesh7 P_Ch0_mesh8 P_Ch0_mesh9 P_Ch0_mesh10 P_Ch0_mesh11 P_Ch0_mesh12 P_Ch0_mesh13 P_Ch0_mesh14 P_Ch0_mesh15 
0.000000000000000000e+00 1.594517866609182023e+07 1.594338732350764424e+07 1.612420265094235539e+07 1.612207197464756854e+07 1.611994131679932028e+07 1.611781067881467380e+07 1.611568006189271808e+07 1.611354946721146815e+07 1.611141889592744969e+07 1.610928834914603457e+07 1.610715782794462331e+07 1.610502733346711099e+07 1.610289686695855111e+07 1.610076642924921587e+07 1.609908520237527788e+07
5.000040000000043960e+01 7.960290354330470785e+06 7.958184872662876733e+06 7.979589969222649001e+06 7.977039005821720697e+06 7.974490399951314554e+06 7.971942638343065046e+06 7.969395721278899349e+06 7.966849642219068483e+06 7.964304394032331184e+06 7.961759968969671056e+06 7.959216358680959791e+06 7.956673554246312007e+06 7.954131546204598621e+06 7.951590324389082380e+06 7.949585436872923747e+06
1.000003999999985922e+02 7.660931854477208108e+06 7.658802369941188954e+06 7.657490752025143243e+06 7.654910895163781941e+06 7.652340703826669604e+06 7.649780282682009973e+06 7.647230708993970416e+06 7.644693236281034537e+06 7.642169335134298541e+06 7.639660750069436617e+06 7.637169578926040791e+06 7.634698388138838112e+06 7.632250388356461190e+06 7.629829718617998995e+06 7.627941198011308908e+06
1.502405034099261059e+02 7.444063765436430462e+06 7.441882046096364036e+06 7.439127017514825799e+06 7.436404827742324211e+06 7.433677402962755412e+06 7.430944351832197979e+06 7.428205476274588145e+06 7.425460884713080712e+06 7.422711089422998019e+06 7.419956905300040729e+06 7.417199158751012757e+06 7.414438468590361997e+06 7.411675263244489208e+06 7.408909852327520959e+06 7.406726132525117137e+06
2.004200391960640388e+02 7.264874191648494452e+06 7.262694731808202341e+06 7.259951165714357048e+06 7.257301366319016553e+06 7.254650304016803391e+06 7.251998278404083103e+06 7.249344993673205376e+06 7.246689702379747294e+06 7.244031430884857662e+06 7.241369163403034210e+06 7.238701938844016753e+06 7.236028888792423531e+06 7.233349267741801217e+06 7.230662476093087345e+06 7.228538051217041910e+06
2.553043625042201370e+02 7.015194592495198362e+06 7.013147962769685313e+06 7.010569691368143074e+06 7.008092938005991280e+06 7.005621189093332738e+06 7.003155054283705540e+06 7.000694855065236799e+06 6.998240685432305560e+06 6.995792448341490701e+06 6.993350076584153809e+06 6.990912959084697999e+06 6.988482868527311832e+06 6.986052454585908912e+06 6.983648441066978499e+06 6.981698119206995703e+06
3.084293625042201370e+02 6.591828319993847050e+06 6.589884312316917814e+06 6.587466474001886323e+06 6.585123989375690930e+06 6.582792611223860644e+06 6.580473531730880961e+06 6.578167151365430094e+06 6.575873389535890892e+06 6.573591303879008628e+06 6.571320939452399500e+06 6.569059175617573783e+06 6.566812141628911719e+06 6.564560133408548310e+06 6.562362167254451662e+06 6.560540221675622277e+06
3.584293625042201370e+02 5.990182033623121679e+06 5.988258950577285141e+06 5.985880441587438807e+06 5.983587096592812799e+06 5.981313768763039261e+06 5.979057404789092951e+06 5.976815394721938297e+06 5.974586331844623201e+06 5.972369070731194690e+06 5.970164839522074908e+06 5.967968034307478927e+06 5.965773193373818882e+06 5.963553298079962842e+06 5.961365067544214427e+06 5.959518178052224219e+06
4.115543625042201370e+02 5.130266962497977540e+06 5.128354476248253137e+06 5.125998212603291497e+06 5.123717695936623029e+06 5.121458618607594632e+06 5.119221491768879816e+06 5.117006085969928652e+06 5.114807488081425428e+06 5.112619857569756918e+06 5.110441353028221056e+06 5.108269719714827836e+06 5.106102514424579218e+06 5.103928354787874967e+06 5.101786131806344725e+06 5.099970583108805120e+06
4.615543625042201370e+02 4.389142330210766755e+06 4.387214131447752938e+06 4.384841621992073953e+06 4.382546509146354161e+06 4.380273855919742957e+06 4.378023659166880883e+06 4.375797250101222657e+06 4.373597958478040993e+06 4.371423204891292378e+06 4.369266411559825763e+06 4.367122538918090984e+06 4.364987559492407367e+06 4.362848656936630607e+06 4.360747198479044251e+06 4.358921254492103122e+06
