TIME T_sat_Ch0_mesh1 T_sat_Ch0_mesh2 T_sat_Ch0_mesh3 T_sat_Ch0_mesh4 T_sat_Ch0_mesh5 T_sat_Ch0_mesh6 T_sat_Ch0_mesh7 T_sat_Ch0_mesh8 T_sat_Ch0_mesh9 T_sat_Ch0_mesh10 T_sat_Ch0_mesh11 T_sat_Ch0_mesh12 T_sat_Ch0_mesh13 T_sat_Ch0_mesh14 T_sat_Ch0_mesh15 
0.000000000000000000e+00 6.201713808644612982e+02 6.201622271046205697e+02 6.210822003982642627e+02 6.210714063538197252e+02 6.210606112972823212e+02 6.210498152356034325e+02 6.210390181746327016e+02 6.210282201201152930e+02 6.210174210776899599e+02 6.210066210527384101e+02 6.209958200505026298e+02 6.209850180765640744e+02 6.209742151370194279e+02 6.209634112358642142e+02 6.209548845959586743e+02
5.000040000000043960e+01 5.647190928731034774e+02 5.647116059143943403e+02 5.647069603498005108e+02 5.646940404833844696e+02 5.646821760272079018e+02 5.646707360420880377e+02 5.646595072487076550e+02 5.646484103800862613e+02 5.646374179931776780e+02 5.646265235229111568e+02 5.646157290663259118e+02 5.646050407930071060e+02 5.645944674987276812e+02 5.645840205037703754e+02 5.645758649444705952e+02
1.000003999999985922e+02 5.556094616345932309e+02 5.555913913854054726e+02 5.555684404962353256e+02 5.555468652343882923e+02 5.555254580726075346e+02 5.555042153473593771e+02 5.554831360954127604e+02 5.554622208911113148e+02 5.554414683731472451e+02 5.554208741094203106e+02 5.554004329701838287e+02 5.553801459167999610e+02 5.553599707952644167e+02 5.553401613468362257e+02 5.553234440079235128e+02
1.502405034099261059e+02 5.276031746481628488e+02 5.275823529728818357e+02 5.275568860843957282e+02 5.275329750141495424e+02 5.275096687234569117e+02 5.274869138671433575e+02 5.274646681902980845e+02 5.274429007266859344e+02 5.274215737720085144e+02 5.274006879392688916e+02 5.273801449560419314e+02 5.273601388522297384e+02 5.273400620266635315e+02 5.273214855249822222e+02 5.273041342771065274e+02
2.004200391960640388e+02 4.518433634838361854e+02 4.517660290025865493e+02 4.516715895048868106e+02 4.515792924270509161e+02 4.514881899428085035e+02 4.513980942053225363e+02 4.513093503483973450e+02 4.512159008193600584e+02 4.511459248168474687e+02 4.511187414460175660e+02 4.511172266791296579e+02 4.511158434049318657e+02 4.511144595958107288e+02 4.511130770480543219e+02 4.511119873682498564e+02
2.553043625042201370e+02 4.454682184617743701e+02 4.453437932069280123e+02 4.451902048026964280e+02 4.450377744545456835e+02 4.448840707609676883e+02 4.447287041373044758e+02 4.445712582715181611e+02 4.444111593489377015e+02 4.442484955982225756e+02 4.440833742327810114e+02 4.439635476474651341e+02 4.439149800028531558e+02 4.439126828545103081e+02 4.439114608333466094e+02 4.439105449017379215e+02
3.053043625042201370e+02 4.430874671992972935e+02 4.429480268424571818e+02 4.427723419036514656e+02 4.425976079937121881e+02 4.424221752442077218e+02 4.422460476779785381e+02 4.420692230341073810e+02 4.418916962029920228e+02 4.417134580784076547e+02 4.415344950699142146e+02 4.413547893965806566e+02 4.411743287407785488e+02 4.410524675286343381e+02 4.410184633276384147e+02 4.410167254816947775e+02
3.553043625042201370e+02 4.426989936377348158e+02 4.425537732261796009e+02 4.423737406187397028e+02 4.421960852568282689e+02 4.420177290558142431e+02 4.418386665861473830e+02 4.416588946228770283e+02 4.414784128861645058e+02 4.412972246018965734e+02 4.411153368547422247e+02 4.409327609736433260e+02 4.407495170194878256e+02 4.405656465418869630e+02 4.403812210934324298e+02 4.402400751568012538e+02
4.053043625042201370e+02 4.465062091503685906e+02 4.463703917708875792e+02 4.462005904681485617e+02 4.460344142151659526e+02 4.458675330539870743e+02 4.456999555306850880e+02 4.455316905036680737e+02 4.453627423084910788e+02 4.451931034666522464e+02 4.450227457866127452e+02 4.448516140091351190e+02 4.446796320750032123e+02 4.445067350565331026e+02 4.443329191506351776e+02 4.441951598899056535e+02
4.553043625042201370e+02 4.477403191102180244e+02 4.476082959879727241e+02 4.474436617339039799e+02 4.472821757047597657e+02 4.471200094581880649e+02 4.469571511192456228e+02 4.467935896105364577e+02 4.466293159921204392e+02 4.464643243017116561e+02 4.462986122353847236e+02 4.461321820401215064e+02 4.459650426599777120e+02 4.457972126088440632e+02 4.456287186487004988e+02 4.454953039360573257e+02
5.053043625042201370e+02 4.480905272928033014e+02 4.479587442501854753e+02 4.477941564480235002e+02 4.476329795614715295e+02 4.474711484287499843e+02 4.473086673873607424e+02 4.471455428458743881e+02 4.469817826336803250e+02 4.468173950607092593e+02 4.466523878516748027e+02 4.464867671695358808e+02 4.463205375383158184e+02 4.461537029415219422e+02 4.459862668179662819e+02 4.458537124451017917e+02
5.553043625042200802e+02 4.478602583971882609e+02 4.477275914765032780e+02 4.475619152999454400e+02 4.473997510474331420e+02 4.472369845998591700e+02 4.470736186587595284e+02 4.469096548655944048e+02 4.467450937159339901e+02 4.465799345862903920e+02 4.464141758408451892e+02 4.462478149701973393e+02 4.460808490726315654e+02 4.459132756976253518e+02 4.457450926379269731e+02 4.456119397573378365e+02
6.053043625042200802e+02 4.473290847936321484e+02 4.471949375903793680e+02 4.470274417660028234e+02 4.468635032049538722e+02 4.466989693145019373e+02 4.465338377695611030e+02 4.463681056852307165e+02 4.462017697048119089e+02 4.460348260878261044e+02 4.458672707835969504e+02 4.456990994880598009e+02 4.455303079048830455e+02 4.453608921800546909e+02 4.451908486573601635e+02 4.450562141631496047e+02
6.553043625042200802e+02 4.466288121715568309e+02 4.464928102730284536e+02 4.463229972768666016e+02 4.461567865333230998e+02 4.459899672302337876e+02 4.458225354006926864e+02 4.456544868308126297e+02 4.454858170917032112e+02 4.453165215714466285e+02 4.451465954971672545e+02 4.449760339563601974e+02 4.448048320847713626e+02 4.446329853626098156e+02 4.444604894325148621e+02 4.443239041554276127e+02
7.065543625042200802e+02 4.458265765686217037e+02 4.456884236337897391e+02 4.455159139428580488e+02 4.453470570270067128e+02 4.451775720953864948e+02 4.450074544657466049e+02 4.448366993049377243e+02 4.446653016404767982e+02 4.444932563731892969e+02 4.443205582795585542e+02 4.441472020161239129e+02 4.439731822608997618e+02 4.437984939215208442e+02 4.436231319857637345e+02 4.434842673972565308e+02
7.596793625042200802e+02 4.447484547572183828e+02 4.446073548955631054e+02 4.444310775875059676e+02 4.442585901616829460e+02 4.440854461581436681e+02 4.439116403034806808e+02 4.437371672065231678e+02 4.435620213713534099e+02 4.433861972160715368e+02 4.432096890800835922e+02 4.430324912226648735e+02 4.428545979263442405e+02 4.426760035811479383e+02 4.424967022311219011e+02 4.423547039371379697e+02
8.096793625042200802e+02 4.430896002873174666e+02 4.429439384089821488e+02 4.427620044863251110e+02 4.425838926364133386e+02 4.424050769127304648e+02 4.422255507314313263e+02 4.420453071205727724e+02 4.418643386781068898e+02 4.416826375840216770e+02 4.415001956925480044e+02 4.413170047396691871e+02 4.411330567375622422e+02 4.409483443568773282e+02 4.407628608364838101e+02 4.406159392995068629e+02
8.596793625042200802e+02 4.410217489151194741e+02 4.408722897167438077e+02 4.406837118393776791e+02 4.404982611582323671e+02 4.403119426770854830e+02 4.401248423172755224e+02 4.399369519513367095e+02 4.397482632932163256e+02 4.395587676622957360e+02 4.393684554318019764e+02 4.391773149954127007e+02 4.389853312142355435e+02 4.387924834430338024e+02 4.385987440152301247e+02 4.384452069753693308e+02
9.096793625042200802e+02 4.395461564427378676e+02 4.393919082611456588e+02 4.391976514318611748e+02 4.390066438450196529e+02 4.388146574819454599e+02 4.386218191228881551e+02 4.384281141670676334e+02 4.382335269775628603e+02 4.380380415247339556e+02 4.378416423789085457e+02 4.376443159219192580e+02 4.374460515341901328e+02 4.372468422223842595e+02 4.370466840903455932e+02 4.368880603856479183e+02
9.596793625042200802e+02 4.383293597358054967e+02 4.381695110603691319e+02 4.379693063836908777e+02 4.377732021461515046e+02 4.375761890483249772e+02 4.373782567187688528e+02 4.371793947057255991e+02 4.369795937292822714e+02 4.367788456097282506e+02 4.365771429851632774e+02 4.363744788853114187e+02 4.361708463522443822e+02 4.359662381466780516e+02 4.357606464254436105e+02 4.355977060013057098e+02
