TIME T_liq_Ch0_mesh1 T_liq_Ch0_mesh2 T_liq_Ch0_mesh3 T_liq_Ch0_mesh4 T_liq_Ch0_mesh5 T_liq_Ch0_mesh6 T_liq_Ch0_mesh7 T_liq_Ch0_mesh8 T_liq_Ch0_mesh9 T_liq_Ch0_mesh10 T_liq_Ch0_mesh11 T_liq_Ch0_mesh12 T_liq_Ch0_mesh13 T_liq_Ch0_mesh14 T_liq_Ch0_mesh15 
0.000000000000000000e+00 5.633138618567938920e+02 5.633135643040105833e+02 5.633395402485977002e+02 5.633392475025744943e+02 5.633389545384151234e+02 5.633386612113804404e+02 5.633383674246804276e+02 5.633380730934350140e+02 5.633377781341517903e+02 5.633374824655181783e+02 5.633371860115869367e+02 5.633368886954215213e+02 5.633365904313077408e+02 5.633362911248646014e+02 5.633360550839380494e+02
5.000040000000043960e+01 5.662515194497805169e+02 5.662457141180178724e+02 5.662344082098477429e+02 5.662199588948162727e+02 5.662069438045194829e+02 5.661941193805040484e+02 5.661814892352891775e+02 5.661690498393253392e+02 5.661567938611811996e+02 5.661447100207700487e+02 5.661327837884798555e+02 5.661209993763397961e+02 5.661093430950871834e+02 5.660978073380852038e+02 5.660864761681624486e+02
1.000003999999985922e+02 5.628179406618136227e+02 5.628010548534367672e+02 5.627812437986643772e+02 5.627597413529006189e+02 5.627365825451169030e+02 5.627119077952452244e+02 5.626859068799558372e+02 5.626588378945098157e+02 5.626310059278018798e+02 5.626027035050474296e+02 5.625741501530968662e+02 5.625448986184534306e+02 5.625150097248207430e+02 5.624819670288144380e+02 5.624697896442149840e+02
1.502405034099261059e+02 5.573299128224197148e+02 5.572379997197738248e+02 5.571913038976947519e+02 5.571560010641377403e+02 5.571244806300418304e+02 5.570946293981614872e+02 5.570657798381923840e+02 5.570376170844988337e+02 5.570101047979169380e+02 5.569827942125488107e+02 5.569567228295165933e+02 5.569281266511010244e+02 5.569099531436066854e+02 5.568523709745981023e+02 5.570108095520643019e+02
2.004200391960640388e+02 5.408851502993645681e+02 5.408290257374369503e+02 5.407885993245816962e+02 5.407498343517489729e+02 5.407129693697661423e+02 5.406778526979520620e+02 5.406442961440747013e+02 5.406120698883563591e+02 5.405811326829109476e+02 5.405507884526724638e+02 5.405228222150302599e+02 5.404901047914130459e+02 5.404788180146233572e+02 5.403997419599596697e+02 5.407880265785787515e+02
2.542945613426540774e+02 4.942682200732519391e+02 4.942153214890013260e+02 4.941757842899065736e+02 4.941338150138044512e+02 4.940871095369356567e+02 4.939468228237609537e+02 4.925125063457902002e+02 4.886583891624827629e+02 4.844150649738361949e+02 4.805520587472843204e+02 4.777456928437349006e+02 4.756303409185594546e+02 4.737484298128803744e+02 4.643810607643551407e+02 4.487466185451286833e+02
3.042945613426541058e+02 4.167516906462062138e+02 4.190014446798797962e+02 4.236677538684206752e+02 4.283066041707849649e+02 4.326691349749813185e+02 4.363765943115766959e+02 4.391542267538825968e+02 4.410295946816023616e+02 4.423786937487562341e+02 4.417800624033266104e+02 4.416033946374267884e+02 4.414459481978746567e+02 4.412880047328890782e+02 4.410565065737825989e+02 4.406896161249553074e+02
3.542945613426541058e+02 4.437374379700976306e+02 4.435081588716432748e+02 4.430543582287698996e+02 4.425665510629737582e+02 4.420278710928344594e+02 4.414579780070375250e+02 4.408815235880571777e+02 4.403139206850938194e+02 4.397883856652902637e+02 4.393422690720347532e+02 4.388954758111347587e+02 4.384497416106210039e+02 4.366635141626130689e+02 4.353311175470640251e+02 4.340599233058379127e+02
4.042945613426541058e+02 4.350900748045607429e+02 4.346922175446264305e+02 4.341882835520881940e+02 4.337485495495287751e+02 4.333446308167534085e+02 4.329888053004395374e+02 4.326871019103227241e+02 4.324275210487604681e+02 4.321836263148489365e+02 4.319088596740100456e+02 4.315449826980445209e+02 4.310358896757886100e+02 4.302656067742768755e+02 4.290240311067628909e+02 4.271525289959077440e+02
4.542945613426541058e+02 4.315593106064021072e+02 4.313556321524983446e+02 4.309819558333406917e+02 4.305530922492048944e+02 4.300283765586436289e+02 4.293880138556574479e+02 4.286148718676055296e+02 4.276969934212215776e+02 4.266391275170058748e+02 4.254614759922319536e+02 4.241886670360480025e+02 4.228686307467596066e+02 4.215411948262353690e+02 4.202490662422985679e+02 4.189863987843146447e+02
5.042945613426541058e+02 4.327209993970043911e+02 4.318034263610405219e+02 4.305503709899851970e+02 4.295223398941425330e+02 4.285014552436650206e+02 4.274332648022459580e+02 4.263083493717895180e+02 4.251331951041943853e+02 4.239248456133931882e+02 4.227026185066704329e+02 4.214654826281429791e+02 4.202135481334758538e+02 4.189353400874582007e+02 4.176841136813976050e+02 4.166354815262224633e+02
5.542945613426541058e+02 4.295123213214480984e+02 4.288651552022866440e+02 4.277596351672034416e+02 4.266899895992497136e+02 4.256011621480213876e+02 4.245052907324611624e+02 4.234182870557444289e+02 4.223588874010940799e+02 4.213507951931030107e+02 4.204205513934060150e+02 4.195851064233989973e+02 4.188622636597891642e+02 4.182539970099368247e+02 4.177533823297684989e+02 4.173257120604251327e+02
6.042945613426541058e+02 4.266241409702309966e+02 4.260362582978081605e+02 4.250669491263092254e+02 4.241901860907742048e+02 4.233601957998465082e+02 4.225837542198797223e+02 4.218634437146779987e+02 4.211970754975593536e+02 4.205793641834530945e+02 4.200034614930317503e+02 4.194571435786559732e+02 4.189350595866871458e+02 4.184333834323282417e+02 4.179539442699396545e+02 4.174902446306867319e+02
6.542945613426541058e+02 4.249367904735784123e+02 4.245013043961300241e+02 4.238027189777545800e+02 4.231761683599386856e+02 4.225768796290581122e+02 4.220004568100819711e+02 4.214421553254970263e+02 4.208973619944173947e+02 4.203625851295043958e+02 4.198359901722685095e+02 4.193132254521854065e+02 4.187946922008317188e+02 4.182813013613408657e+02 4.177766399155693762e+02 4.172789419935711521e+02
7.042945613426541058e+02 4.241908136037222334e+02 4.238245905859334925e+02 4.232341638467965481e+02 4.226868489712588257e+02 4.221468818176135755e+02 4.216124905252440271e+02 4.210820729844326138e+02 4.205542517897332004e+02 4.200282257451407872e+02 4.195040750739553346e+02 4.189793814196671065e+02 4.184546695283859776e+02 4.179305011158677416e+02 4.174090518336861351e+02 4.168896105560679644e+02
7.542945613426541058e+02 4.236491103783072276e+02 4.233030199308046235e+02 4.227426438740757817e+02 4.222156555669538420e+02 4.216899664576739610e+02 4.211648956880882793e+02 4.206397671089759456e+02 4.201140259476564438e+02 4.195875083904317648e+02 4.190607601438534289e+02 4.185322654697245071e+02 4.180027795474464938e+02 4.174730810607591707e+02 4.169449696857000163e+02 4.164182081372526909e+02
8.042945613426541058e+02 4.232860776338349069e+02 4.229408568580643646e+02 4.223905092023104544e+02 4.218706957449244328e+02 4.213501850938638995e+02 4.208287229063159316e+02 4.203059686757750342e+02 4.197816086102109239e+02 4.192555639339926756e+02 4.187283276234010714e+02 4.181978056453630188e+02 4.176634233324541583e+02 4.171233702972790525e+02 4.165738817292321983e+02 4.160028193968311712e+02
8.542945613426541058e+02 4.232239466892866631e+02 4.228856759716600777e+02 4.223411119622596743e+02 4.218247303362806520e+02 4.213050780499109464e+02 4.207808441508376518e+02 4.202500979352174681e+02 4.197103850250799155e+02 4.191589876943630202e+02 4.185934298594752931e+02 4.180097084033203032e+02 4.174061639823356700e+02 4.167819785817684419e+02 4.161381326116952550e+02 4.154764691667976990e+02
9.042945613426541058e+02 4.236250830971147820e+02 4.232145230061028656e+02 4.226234428776184586e+02 4.220921853336964773e+02 4.215535210041730352e+02 4.210011725572825299e+02 4.204305455117827250e+02 4.198337177618473675e+02 4.191955000692744875e+02 4.184869683202697388e+02 4.176560758776345779e+02 4.166332908130220289e+02 4.153576884893220722e+02 4.138442150255008301e+02 4.122546728718788813e+02
9.542945613426541058e+02 4.233306404135921639e+02 4.227218275692005136e+02 4.218943287367513904e+02 4.211457774893978581e+02 4.203883338730115611e+02 4.195520170158565065e+02 4.186285829313079603e+02 4.176183983113672298e+02 4.165343082472008973e+02 4.154030519034462259e+02 4.142600286686576396e+02 4.131433987777165271e+02 4.120814867473955587e+02 4.110846720039435240e+02 4.101438736036503769e+02
1.005544561342654106e+03 4.215454693126928873e+02 4.207821626207017971e+02 4.196741345238547183e+02 4.186762858097161484e+02 4.177039502932215100e+02 4.167162536358349598e+02 4.157268789684144963e+02 4.147473196975855672e+02 4.137851743562007414e+02 4.128435698138524117e+02 4.119200428776537137e+02 4.110105073710118404e+02 4.101099771541031487e+02 4.092144276582747580e+02 4.083205820899136143e+02
1.055544561342654106e+03 4.193324376456121172e+02 4.185760770161476785e+02 4.174696868727581887e+02 4.165115604664286479e+02 4.156041923663765374e+02 4.147020775780704298e+02 4.138054742603786735e+02 4.129134712230646755e+02 4.120246300256081327e+02 4.111376987243696703e+02 4.102505156531863122e+02 4.093625726285642941e+02 4.084740954876124874e+02 4.075864269165904261e+02 4.067010456831302463e+02
1.108419561342654106e+03 4.172259353179473464e+02 4.165907454835312365e+02 4.155846201884593256e+02 4.147131073939512476e+02 4.138478211156577231e+02 4.129816739216395263e+02 4.121144497804827438e+02 4.112461862240534742e+02 4.103772708647805985e+02 4.095085339560183115e+02 4.086397230855049543e+02 4.077715127007966203e+02 4.069044467673591612e+02 4.060391644532109012e+02 4.051753034007936094e+02
1.158419561342654106e+03 4.156513698319453738e+02 4.150642786954186931e+02 4.141471622407850077e+02 4.132995660338625612e+02 4.124514393021805176e+02 4.116019501884059650e+02 4.107512026469009356e+02 4.098991791412821044e+02 4.090456944160853823e+02 4.081903942206201350e+02 4.073312101439129833e+02 4.064663060909641104e+02 4.055931667559957532e+02 4.047092728644075805e+02 4.038122331878432192e+02
1.208419561342654106e+03 4.143874358873970891e+02 4.138304806859073324e+02 4.129314583429612640e+02 4.120953886376241826e+02 4.112564019396330650e+02 4.104130649994260693e+02 4.095642398366906605e+02 4.087086043066985326e+02 4.078448420809795039e+02 4.069719647476775890e+02 4.060882360540735476e+02 4.051934207340978560e+02 4.042881290520431889e+02 4.033742535668170603e+02 4.024542158881172327e+02
1.258419561342654106e+03 4.131976714897256784e+02 4.126555669417649597e+02 4.117571394052217784e+02 4.109172981596344698e+02 4.100704157301469763e+02 4.092154080144460977e+02 4.083517909057941324e+02 4.074794702889639666e+02 4.065988603831138448e+02 4.057109504891203073e+02 4.048158411840877875e+02 4.039142502057348452e+02 4.030063222344523410e+02 4.020922505065027508e+02 4.011737815809813128e+02
1.308419561342654106e+03 4.119955109487776781e+02 4.114570526425420098e+02 4.105490764096343810e+02 4.096990331669267107e+02 4.088418057407365040e+02 4.079773741461108330e+02 4.071061373349534165e+02 4.062287116211258535e+02 4.053460013589959203e+02 4.044593227049785469e+02 4.035692028232394932e+02 4.026770245712179417e+02 4.017839628421600651e+02 4.008908673978796173e+02 3.999973574720496003e+02
1.358419561342654106e+03 4.107815626635076569e+02 4.102400470025311279e+02 4.093268572333748239e+02 4.084737684006331619e+02 4.076156505244470054e+02 4.067529103099150234e+02 4.058861605500776477e+02 4.050160384001895864e+02 4.041432148185209599e+02 4.032684611335002955e+02 4.023915379853285685e+02 4.015129167677940245e+02 4.006331347449197438e+02 3.997531297086867994e+02 3.988736275152992334e+02
1.408419561342654106e+03 4.095797203594960934e+02 4.090395218811237328e+02 4.081302774966968627e+02 4.072825132034062108e+02 4.064315389721977567e+02 4.055775996387801570e+02 4.047210422834696715e+02 4.038622239693801248e+02 4.030015685748432475e+02 4.021396388407958966e+02 4.012760254738093977e+02 4.004108483422008362e+02 3.995440242044078900e+02 3.986756504522301157e+02 3.978059153318915264e+02
1.458419561342654106e+03 4.083892706121264951e+02 4.078542941852347781e+02 4.069553293336663842e+02 4.061167547960052389e+02 4.052758180745468053e+02 4.044325819474443620e+02 4.035871867816211989e+02 4.027398043847975941e+02 4.018907366656301292e+02 4.010405472624686922e+02 4.001890804751641326e+02 3.993368366123286819e+02 3.984841067396799303e+02 3.976311421482007518e+02 3.967783313585340466e+02
1.508419561342654106e+03 4.072680851354263041e+02 4.067381015973408012e+02 4.058516277649944186e+02 4.050234175452831096e+02 4.041933467982072443e+02 4.033615466039573789e+02 4.025282980235938908e+02 4.016940051185389962e+02 4.008592681478580175e+02 4.000249056487837152e+02 3.991906591449496204e+02 3.983558268394877473e+02 3.975171291731131191e+02 3.966673820596150790e+02 3.957957132102759488e+02
1.558419561342654106e+03 4.063348143696522357e+02 4.058112176442823511e+02 4.049394477962520682e+02 4.041231589974503322e+02 4.033051840338828242e+02 4.024850832202849915e+02 4.016620452077405616e+02 4.008346853360500290e+02 4.000010477289105779e+02 3.991588946257937778e+02 3.983053746781702671e+02 3.974394662975484493e+02 3.965624320860081298e+02 3.956783567675030326e+02 3.947922429259496653e+02
1.608419561342654106e+03 4.054626103546333979e+02 4.049437301056528327e+02 4.040814935743987917e+02 4.032694713886372710e+02 4.024520262249877192e+02 4.016279137213157924e+02 4.007960975832515942e+02 3.999559764410710727e+02 3.991076384498829270e+02 3.982519624260120850e+02 3.973894493905264653e+02 3.965210745618517763e+02 3.956469098557705593e+02 3.947653449484016051e+02 3.938721868864170119e+02
