TIME void_Ch0_mesh1 void_Ch0_mesh2 void_Ch0_mesh3 void_Ch0_mesh4 void_Ch0_mesh5 void_Ch0_mesh6 void_Ch0_mesh7 void_Ch0_mesh8 void_Ch0_mesh9 void_Ch0_mesh10 void_Ch0_mesh11 void_Ch0_mesh12 void_Ch0_mesh13 void_Ch0_mesh14 void_Ch0_mesh15 
0.000000000000000000e+00 1.020916740795525544e-05 1.020920578480369391e-05 1.020537457823803029e-05 1.020541958024639937e-05 1.020546458972207201e-05 1.020550960677702765e-05 1.020555463144115638e-05 1.020559966373876467e-05 1.020564470369390317e-05 1.020568975133061576e-05 1.020573480667082534e-05 1.020577986973558237e-05 1.020582494054832765e-05 1.020587001914309326e-05 1.020590563867361004e-05
5.000040000000043960e+01 7.132964697100057094e-01 7.821889204168276377e-01 5.834875028976309608e-01 5.645246702532296101e-01 5.680051337387733712e-01 5.783941062477933048e-01 5.886921198303898262e-01 5.970322552213637168e-01 6.034182598120273466e-01 6.083223337358785177e-01 6.121907573854266094e-01 6.151922920730853450e-01 6.167919027505408547e-01 6.139646705990413622e-01 5.996808335249869115e-01
1.000003999999985922e+02 2.542836704618947619e-01 2.681372320786775121e-01 2.780039718321665188e-01 2.877344895202328390e-01 2.969430615827387543e-01 3.057408143366189823e-01 3.141786691232826279e-01 3.222808563310480823e-01 3.300426929537512155e-01 3.375388353461965529e-01 3.443738121498641780e-01 3.526867512326156140e-01 3.514798080656307833e-01 3.955866562990283386e-01 1.479391677972930197e-01
1.502405034099261059e+02 7.254661523088311581e-01 7.009001184654024552e-01 7.264872876433297044e-01 7.319517398503465611e-01 7.375315526499492957e-01 7.431660712590236750e-01 7.487439967553140008e-01 7.541712777119196076e-01 7.593583407743247360e-01 7.644013507158029519e-01 7.695616115835294258e-01 7.741801596282495979e-01 7.799018052001656098e-01 7.772338473885063159e-01 8.566931134480914034e-01
2.004200391960640388e+02 4.390607524408832174e-01 4.618388713836378834e-01 4.629480453610154145e-01 4.763086900738588980e-01 4.859366335901393885e-01 4.921215975128137021e-01 4.972299894183024316e-01 5.039458647133665536e-01 5.051059335163070596e-01 5.292371092427760049e-01 4.753053005153408672e-01 6.971627849393060572e-01 9.769077493192782624e-01 9.905535002395489119e-01 9.905236032516692157e-01
2.553043625042201370e+02 2.859343088297014793e-02 4.091295219300741630e-03 2.343435955012114578e-03 1.780418175264549159e-03 1.472159480556398939e-03 1.254672948222786176e-03 1.047089881628635944e-03 7.695141654531626775e-04 4.097209690842748770e-04 9.993548551032779064e-06 3.086388948321463488e-01 9.237737695886053535e-01 9.900120570510564377e-01 9.905594403242683477e-01 9.906285153632363727e-01
3.053043625042201370e+02 5.095794746877312445e-03 2.044595146223117399e-04 1.527646205598962514e-04 1.490543431174555630e-04 1.440353507781094256e-04 1.353758686324656494e-04 1.206653037590038147e-04 9.845428281137657460e-05 7.202153517833825771e-05 6.095771454976508011e-05 1.540923373357513883e-04 8.108533640579564669e-04 1.038809489964201277e-01 8.875478115014400204e-01 9.879359131250847748e-01
3.553043625042201370e+02 7.123982644548569306e-04 3.051743410021776830e-04 2.193457728057708958e-04 1.935308241686315334e-04 1.855868367919335507e-04 1.821549643848837904e-04 1.795854720670256972e-04 1.774801348812154241e-04 1.764753753606297789e-04 1.756484687750220648e-04 1.703154054678527999e-04 1.569842109902718440e-04 1.237250049687725845e-04 6.895257050506392593e-05 1.000599624808130282e-05
4.053043625042201370e+02 1.324157209541846020e-04 1.219915091499485389e-04 1.102563981536253406e-04 1.004641551622967267e-04 9.209229718620747201e-05 8.552740662243840739e-05 8.161175277828380153e-05 8.226146153073943864e-05 9.100359421131977954e-05 1.117327915700179681e-04 1.431306766584514048e-04 1.702999552126747496e-04 1.647387596975938349e-04 1.022025333157598623e-04 9.976677762476474806e-06
4.553043625042201370e+02 1.225707411557103047e-04 1.107180290856157173e-04 1.071241321031429316e-04 1.088619345259902299e-04 1.150341859695973437e-04 1.260806294901187078e-04 1.436872148291360970e-04 1.706767775412404084e-04 2.103707271715498425e-04 2.668986021889847718e-04 3.505644162421176369e-04 4.933261436514524813e-04 8.162064433878598322e-04 1.359181262066228848e-03 1.413686987896305223e-05
